year,week,rank,title,author,publisher,description
1931,1931-10-12,1,THE TEN COMMANDMENTS,Warwick Deeping,NA,NA
1931,1931-10-12,2,FINCHE'S FORTUNE,Mazo de la Roche,NA,NA
1931,1931-10-12,3,THE GOOD EARTH,Pearl S. Buck,NA,NA
1931,1931-10-12,4,SHADOWS ON THE ROCK,Willa Cather,NA,NA
1931,1931-10-12,5,SCARMOUCHE THE KING MAKER,Rafael Sabatini,NA,NA
1931,1931-11-16,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-11-16,2,TWO PEOPLE,A. A. Milne,NA,NA
1931,1931-11-16,3,AMERICAN BEAUTY,Edna Ferber,NA,NA
1931,1931-11-16,4,BROOME STAGES,Clemance Dane,NA,NA
1931,1931-11-16,5,SPARKS FLY UPWARD,Oliver LaFarge,NA,NA
1931,1931-11-30,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-11-30,2,AMERICAN BEAUTY,Edna Ferber,NA,NA
1931,1931-11-30,3,TWO PEOPLE,A. A. Milne,NA,NA
1931,1931-12-07,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-12-07,2,THE GOOD EARTH,Pearl Buck,NA,NA
1931,1931-12-07,3,TWO PEOPLE,A. A. Milne,NA,NA
1931,1931-12-14,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-12-14,2,TWO PEOPLE,A. A. Milne,NA,NA
1931,1931-12-14,3,MALAYSIA,Henri Fauconnier,NA,NA
1931,1931-12-21,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-12-21,2,BROOME STAGES,Clemance Dane,NA,NA
1931,1931-12-21,3,WESTWARD PASSAGE,Margaret Ayer Barnes,NA,NA
1931,1931-12-28,1,MAID IN WAITING,John Galsworthy,NA,NA
1931,1931-12-28,2,WESTWARD PASSAGE,Margaret Ayer Barnes,NA,NA
1931,1931-12-28,3,BROOME STAGES,Clemance Dane,NA,NA
1932,1932-01-04,1,MAID IN WAITING,John Galsworthy,NA,NA
1932,1932-01-04,2,WESTWARD PASSAGE,Margaret Ayer Barnes,NA,NA
1932,1932-01-04,3,BROOME STAGES,Clemence Dane,NA,NA
1932,1932-01-11,1,THE HARBOURMASTER,William McFee,NA,NA
1932,1932-01-11,2,MAID IN WAITING,John Galsworthy,NA,NA
